epoch,train_loss,train_acc,train_precision,train_recall,val_loss,val_acc,val_precision,val_recall
1,0.29966979650093006,89.09395973154362,0.8413135379021162,0.9066938255962645,0.0622161565811042,97.98657718120806,0.9705882352941176,0.9806878306878307
2,0.01821743846939714,99.496644295302,0.98989898989899,0.995983645983646,0.009645450372723924,100.0,1.0,1.0
3,0.008870627640452761,99.83221476510067,0.9978494623655915,0.9959349593495935,0.007711557971451106,100.0,1.0,1.0
4,0.0049478909588300144,100.0,1.0,1.0,0.006736831026989342,100.0,1.0,1.0
5,0.002070224798603246,100.0,1.0,1.0,0.004077191792753519,100.0,1.0,1.0
6,0.005412358072220704,99.83221476510067,0.9990766389658358,0.9978354978354979,0.002845917717434916,100.0,1.0,1.0
7,0.005214844952218685,100.0,1.0,1.0,0.005072817393897364,100.0,1.0,1.0
8,0.0052791836217589575,99.83221476510067,0.9978494623655915,0.9990740740740741,0.0035664369820948413,100.0,1.0,1.0
9,0.00721173873796259,99.83221476510067,0.9990766389658358,0.9978354978354979,0.002381072235887483,100.0,1.0,1.0
10,0.0021994920727178052,100.0,1.0,1.0,0.005510773303474756,100.0,1.0,1.0
11,0.0020552099910533467,100.0,1.0,1.0,0.0007943723424206544,100.0,1.0,1.0
12,0.0020443426988918907,100.0,1.0,1.0,0.009515153325394096,99.32885906040269,0.9895833333333334,0.9880952380952381
13,0.0010427496639774149,100.0,1.0,1.0,0.0007500422371538893,100.0,1.0,1.0
14,0.0013119460486114688,100.0,1.0,1.0,0.0017347694718397703,100.0,1.0,1.0
15,0.002036856448913818,100.0,1.0,1.0,0.0010439929671135525,100.0,1.0,1.0
